Name,min,Tchar,Tchar_std,thetachar,thetachar_std,DeltaCp,DeltaCp_std,d,d_std
(1R)-(-)-Fenchone,0.002135469,129.8087855,0.4775757,34.29344278,0.283565043,97.85758791,10.79515162,0.000254291,6.20E-06
(-)-alpha-Thujone,0.005014317,132.305736,0.473130984,34.0283432,0.278543447,101.4773847,10.83535986,0.000254291,6.20E-06
Camphor,0.000476525,140.728377,0.48077155,35.23851162,0.271662139,90.9820094,9.588323559,0.000254291,6.20E-06
L-menthone,0.000635193,140.734283,0.470801532,34.3649098,0.269379629,100.1601982,10.1956172,0.000254291,6.20E-06
D-isomenthone,0.001832873,142.472665,0.472016417,34.52115122,0.267458917,96.69500994,9.981383842,0.000254291,6.20E-06
d-Valerolactam,0.001139998,143.3630076,0.466449199,35.30653931,0.278640421,124.4533326,10.02855856,0.000254291,6.20E-06
Safranal,0.019455803,148.2350452,0.468797,35.14399916,0.268194355,106.2913142,9.640470475,0.000254291,6.20E-06
Octyl acetate,0.008639424,144.9151921,0.437243838,31.52313044,0.25591019,116.541902,12.10291521,0.000254291,6.20E-06
(-)-Verbenone,0.001422188,150.0807522,0.472140108,35.45100382,0.266279844,99.76911706,9.322583109,0.000254291,6.20E-06
Neral,0.001391052,151.8731714,0.451048574,33.66875672,0.261028086,114.370209,10.49268115,0.000254291,6.20E-06
Geranial,0.000408185,155.8745427,0.446039932,33.2286735,0.255165428,107.6838322,10.55590143,0.000254291,6.20E-06
(R)-(+)-Pulegone,0.008412766,154.3740272,0.464946205,35.37384318,0.265499969,108.359128,9.415217691,0.000254291,6.20E-06
(S)-(+)-Carvone,0.001617886,154.7105483,0.46262246,34.87816641,0.261721438,103.7749675,9.580567814,0.000254291,6.20E-06
Piperitone,0.002563209,156.7478321,0.465075515,35.12578358,0.259870424,98.0180215,9.312588561,0.000254291,6.20E-06
Isobornyl acetate,0.002214525,161.6980623,0.459808984,35.35491791,0.260769855,106.2328798,9.273206849,0.000254291,6.20E-06
Geranyl acetate,0.000173679,170.5346005,0.426632721,32.69009464,0.249267862,113.7820834,10.89138604,0.000254291,6.20E-06
(-)-Caryophyllene oxide,0.001194031,206.2104531,0.461045608,38.77721834,0.256640687,100.5638165,7.648203922,0.000254291,6.20E-06
(+)-Nootkatone,0.009877061,232.5474353,0.460694758,39.5942356,0.253704629,104.6061398,7.665267737,0.000254291,6.20E-06
