Name,A,err_A,B,err_B,C,err_C,Tchar,err_Tchar,thetachar,err_thetachar,DeltaCp,err_DeltaCp,DeltaHchar,err_DeltaHchar,DeltaSchar,err_DeltaSchar,DeltaHref,err_DeltaHref,DeltaSref,err_DeltaSref,Tref,beta0,R²_Kcentric,χ²_Kcentric,χ̄²_Kcentric,n_Kcentric,Cat_1,Cat_2
Methyl butyrate,-74.739,19.131,7357.8,918.96,9.9477,2.8223,49.699,0.63795,25.139,0.71011,82.71,23.466,-34474.0,983.29,-60.872,3.0237,-31140.0,1370.5,-51.142,4.1058,90.0,250.0,0.99955,0.001927,0.00032116,9,FAME,saturated FAME
Methyl hexanoate,-88.056,7.1966,9075.9,378.96,11.631,1.044,89.321,0.10449,27.033,0.10877,96.702,8.6805,-40410.0,164.26,-65.576,0.44973,-40344.0,166.1,-65.395,0.45287,90.0,250.0,0.99995,0.00050178,7.1683e-5,10,FAME,saturated FAME
Methyl octanoate,-93.826,3.5714,10335.0,202.87,12.247,0.51151,123.03,0.085704,28.624,0.046109,101.83,4.2529,-45592.0,76.045,-69.171,0.18704,-48955.0,161.04,-78.034,0.41668,90.0,250.0,0.99998,0.00056538,5.1398e-5,14,FAME,saturated FAME
Methyl decanoate,-104.68,2.3577,11862.0,142.61,13.602,0.33421,152.76,0.041127,29.89,0.042413,113.09,2.7787,-50459.0,72.259,-72.566,0.1685,-57556.0,189.06,-90.593,0.47429,90.0,250.0,0.99999,0.0001379,1.379e-5,13,FAME,saturated FAME
Methyl undecanoate,-111.37,3.0025,12698.0,186.67,14.461,0.42372,166.41,0.0467,30.466,0.059719,120.23,3.523,-52730.0,103.97,-74.053,0.23549,-61917.0,288.84,-97.012,0.7131,90.0,250.0,0.99999,0.00022362,2.0329e-5,14,FAME,saturated FAME
Methyl laurate,-103.18,4.3252,12641.0,275.79,13.209,0.60789,179.35,0.038831,30.724,0.091765,109.82,5.0543,-55410.0,165.77,-76.545,0.36589,-65223.0,481.16,-100.7,1.1706,90.0,250.0,0.99999,0.00010095,1.1217e-5,12,FAME,saturated FAME
Methyl tridecanoate,-109.69,4.4634,13454.0,291.29,14.047,0.62495,191.67,0.040274,31.201,0.096618,116.79,5.1962,-57577.0,178.57,-77.959,0.38373,-69451.0,557.79,-106.79,1.3389,90.0,250.0,0.99999,0.00014528,1.3207e-5,14,FAME,saturated FAME
Methyl myristate,-107.8,3.8662,13754.0,257.92,13.695,0.53946,203.28,0.043486,31.4,0.093526,113.87,4.4854,-60104.0,179.36,-80.247,0.37594,-73002.0,538.93,-111.16,1.2746,90.0,250.0,0.99999,7.2817e-5,7.2817e-6,13,FAME,saturated FAME
Methyl myristoleate,-86.239,4.2269,12367.0,282.45,10.682,0.58945,205.35,0.026309,31.558,0.064712,88.816,4.901,-60324.0,123.87,-80.16,0.2586,-70569.0,578.79,-104.66,1.3765,90.0,250.0,0.99999,3.1591e-5,3.9489e-6,11,FAME,
Methyl pentadecanoate,-104.54,5.0151,13956.0,341.26,13.157,0.69755,214.28,0.061079,31.498,0.12163,109.4,5.7997,-62716.0,242.68,-82.758,0.4971,-76311.0,760.71,-114.96,1.7781,90.0,250.0,0.99999,0.00012484,1.1349e-5,14,FAME,saturated FAME
Methyl cis-10-pentadecenoate,-95.573,4.4391,13352.0,302.78,11.919,0.61707,216.39,0.041152,31.882,0.086419,99.101,5.1306,-62499.0,169.74,-81.76,0.34622,-75025.0,670.41,-111.36,1.571,90.0,250.0,0.99999,9.2878e-5,8.4434e-6,14,FAME,
Methyl palmitate,-107.16,5.0699,14517.0,351.38,13.449,0.70309,224.78,0.065607,31.705,0.12122,111.82,5.8458,-65019.0,249.17,-84.67,0.49953,-80091.0,826.55,-119.97,1.9118,90.0,250.0,0.99999,0.00012057,1.0961e-5,14,FAME,saturated FAME
Methyl palmitoleate,-95.636,4.3192,13695.0,299.52,11.866,0.5988,225.99,0.040162,32.055,0.080316,98.657,4.9787,-64621.0,162.25,-83.559,0.32455,-78037.0,696.27,-114.94,1.6165,90.0,250.0,0.99999,8.2446e-5,7.495e-6,14,FAME,
Methyl heptadecanoate,-111.63,4.6017,15193.0,324.41,14.002,0.6364,234.82,0.059001,31.932,0.10691,116.42,5.2913,-67187.0,225.49,-86.357,0.44311,-84047.0,798.95,-125.43,1.8304,90.0,250.0,0.99999,9.3125e-5,8.4659e-6,14,FAME,saturated FAME
Methyl cis-10-heptadecanoate,-103.99,3.8947,14623.0,274.96,12.963,0.53844,236.03,0.047036,32.316,0.083878,107.78,4.4769,-66705.0,173.58,-85.097,0.34025,-82444.0,676.52,-121.52,1.551,90.0,250.0,0.99999,0.00011649,9.7075e-6,15,FAME,
Methyl stearate,-117.83,5.17,15982.0,370.43,14.797,0.71314,244.42,0.070673,32.185,0.12054,123.03,5.9294,-69201.0,259.85,-87.796,0.50106,-88200.0,951.98,-131.39,2.1601,90.0,250.0,0.99999,0.00011051,1.1051e-5,13,FAME,saturated FAME
trans-9-Elaidic acid methyl ester,-116.04,4.592,15757.0,329.57,14.585,0.63326,245.35,0.062544,32.806,0.11312,121.27,5.2652,-68135.0,235.51,-85.5,0.45339,-86973.0,851.34,-128.69,1.9292,90.0,250.0,0.99999,9.5967e-5,8.7243e-6,14,FAME,
cis-9-Oleic acid methyl ester,-111.1,5.0474,15508.0,362.23,13.871,0.69607,245.31,0.067649,32.324,0.12043,115.33,5.7874,-69142.0,258.22,-87.451,0.49714,-87054.0,935.4,-128.52,2.1199,90.0,250.0,0.99999,0.00011595,1.0541e-5,14,FAME,saturated FAME
Methyl linolelaidate,-105.4,4.0434,15069.0,290.93,13.105,0.55733,247.19,0.051909,32.817,0.091983,108.96,4.6339,-68598.0,192.76,-85.924,0.36974,-85726.0,753.62,-125.11,1.7073,90.0,250.0,0.99999,0.00012697,1.0581e-5,15,FAME,
Methyl linoleate,-107.48,10.995,15373.0,791.66,13.345,1.5154,247.55,0.13871,32.186,0.24379,110.96,12.599,-70039.0,531.8,-88.602,1.0194,-87521.0,2055.4,-128.59,4.6537,90.0,250.0,0.99995,0.00084572,7.6884e-5,14,FAME,
